rank,korean_spelling,english_spelling_romanization,frequency_band,syllables,token_note,source_url
5194,와라,wara,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5195,우드,udeu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5196,위상,wisang,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5197,유진,yujin,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5198,이른,ireun,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5199,이른바,ireunba,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5201,인체,inche,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5202,자네,jane,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5203,자수,jasu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5204,작정,jakjeong,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5205,재개,jaegae,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5206,저지,jeoji,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5207,정서,jeongseo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5208,제니,jeni,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5210,지분,jibun,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5211,짐작,jimjak,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5212,착륙,chakryuk,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5213,촉구,chokgu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5214,춘천,chuncheon,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5217,토대,todae,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5221,하여금,hayeogeum,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5222,학살,haksal,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5223,합법,hapbeop,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5224,해설,haeseol,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5225,향수,hyangsu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5233,가루,garu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5234,가벼운,gabyeoun,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5235,가져왔,gajyeowat,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5236,게시판,gesipan,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5238,고수,gosu,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5239,기금,gigeum,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5240,기상청,gisangcheong,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5241,기숙사,gisuksa,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5242,기증,gijeung,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5244,꾸미,kkumi,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5245,내역,naeyeok,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5246,다녀오,danyeoo,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
5247,단식,dansik,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5248,더러,deoreo,5001-6000,2,Supplementary frequency token,https://github.com/rspeer/wordfreq
5249,도망가,domangga,5001-6000,3,Supplementary frequency token,https://github.com/rspeer/wordfreq
